ID,Date Raised,Risk Description,Likelihood of Occurrence,Impact if Occurs,Severity Rating,Owner,Mitigating Action,Contingent Action,Progress on Actions,Status
1,15/02/2025,Low video resolution reduces accuracy in detecting football deformation.,Medium,High,High,,Enhance video resolution through pre-processing techniques.,Request higher-quality recordings if resolution is insufficient.,Testing different upscaling techniques for improved resolution.,Open
2,17/02/2025,Lighting variations affect surface detection and ball tracking.,High,High,High,,Implement adaptive brightness correction algorithms.,Adjust lighting conditions manually when necessary.,Experimenting with brightness normalization methods.,Open
3,18/02/2025,"Tried OmniMotion for ball detection, but results were inconsistent.",High,High,Medium,,Optimize OmniMotion parameters and fine-tune the model for football tracking.,Switch to alternative deep learning models if OmniMotion remains unreliable.,Testing OmniMotion under different conditions to improve results.,Open
4,22/02/2025,"Trained a model using our images, but performance was poor due to limited data.",High,High,High,,Increase dataset size by collecting more high-quality labeled football images.,Augment dataset with synthetic images to compensate for limited real data.,Expanding training dataset and testing on additional football images.,Open
5,23/0/2025,"Used YOLO for detection, but it was trained on generic objects (person, vase, table) and not footballs.",High,High,High,,Fine-tune YOLO on football-specific images to improve detection accuracy.,Use transfer learning to fine-tune YOLO for football detection.,Fine-tuning YOLO with custom dataset and evaluating performance.,Open
6,28/02/2025,"Tried using RoboFlow for dataset annotation, but it required a paid version.",High,High,Medium,,Explore alternative free dataset annotation tools to avoid paid RoboFlow dependency.,Consider manual annotation or look for open-source annotation solutions.,Exploring open-source alternatives to RoboFlow for dataset preparation.,Open
7,03/03/2025,Implemented Convex Hull for ball contour detection; it worked partially but not in all cases.,Medium,Medium,Medium,,Enhance Convex Hull processing with pre-filtering techniques to improve accuracy.,Integrate alternative contour detection techniques for cases where Convex Hull fails.,Testing different pre-processing filters alongside Convex Hull.,Open
8,06/03/2025,Black bar near the bottom of the image interfered with mask generation for football detection.,Low,Low,High,,Apply morphological operations and masking techniques to handle black bar interference.,Crop or preprocess images to remove black bar before applying detection algorithms.,Experimenting with different image preprocessing techniques to minimize black bar impact.,Open
9,07/03/2025,Lighting inconsistencies caused problems in differentiating the black football from the background.,Medium,Medium,High,,Use adaptive thresholding and color space conversions to improve lighting robustness.,Standardize lighting conditions or implement real-time brightness corrections.,Refining adaptive lighting correction techniques for better contrast handling.,Open
10,08/03/2025,Kalman filter fails to stabilize detection in rapid movement scenarios.,Medium,Medium,High,,Fine-tune Kalman filter parameters for varying motion speeds.,Manually correct Kalman filter mispredictions if needed.,Refining Kalman filter parameters using sample data.,Open
11,08/03/2025,Hough Transform inaccurately detects multiple circles leading to false positives.,Medium,Medium,Medium,,Introduce post-processing validation to remove false detections.,Filter out false detections using statistical methods.,Applying machine learning post-processing for false detection filtering.,Open
12,09/03/2025,Surface detection errors impact contact length measurement.,Medium,High,High,,Improve Hough Transform-based surface detection with edge filtering.,Use manual surface annotations for critical frames.,Improving edge detection in surface detection algorithms.,Open
13,10/03/2025,Incorrect diameter estimation affects compression measurements.,High,High,Medium,,Calibrate system with known football diameters to reduce errors.,Validate diameter against known physical models.,Comparing different calibration techniques for accuracy improvements.,Open
14,10/03/2025,Background noise in images interferes with football detection.,Low,Low,High,,Apply noise reduction techniques in pre-processing pipeline.,Manually clean noisy data in post-processing.,Implementing noise reduction filters in image preprocessing.,Open
15,11/03/2025,Edge blurring causes inaccurate contact point detection.,Medium,High,High,,Use edge detection enhancements for more accurate contact point identification.,Apply manual corrections for misidentified contact points.,Testing advanced edge detection models for better accuracy.,Open
16,12/03/2025,CSV file storage limits may cause data loss in high-frequency tracking.,Medium,Medium,Medium,,Optimize CSV storage efficiency for high-frequency tracking data.,Implement redundancy in storage methods.,Enhancing storage mechanisms for large dataset handling.,Open
17,13/03/2025,Errors in intersection calculations affect contact length predictions.,High,High,High,,Implement alternative mathematical models for contact calculations.,Compare results with alternative contact models for validation.,Verifying accuracy of contact length calculations.,Open
18,13/03/2025,Inconsistencies in reference surface affect baseline measurements.,Medium,High,High,,Standardize reference surface detection methods.,Use secondary detection techniques for reference surface verification.,Refining reference surface measurement techniques.,Open
19,15/03/2025,Graph generation issues distort deformation trend analysis.,Medium,Medium,High,,Refine visualization algorithms for improved data representation.,Cross-check visualized results with raw data.,Improving graph plotting libraries for enhanced clarity.,Open
20,15/03/2025,"GPU acceleration not fully utilized, causing slower processing times.",Medium,Medium,Medium,,Optimize code for full GPU utilization.,Optimize parallel processing techniques to balance load.,Optimizing GPU-based processing pipeline.,Open
